molecule_chembl_id,canonical_smiles,standard_value,target_id,target_name,bioactivity_class,standard_value_norm,pIC50,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL541931,O=S(=O)(O)CCCSc1sc2ccccc2[n+]1CCCS(=O)(=O)O.[Cl-],100000.0,CHEMBL5619,PIM1 kinase,inactive,100000.0,4.0,448.00900000000024,-1.1592999999999976,2.0,6.0
CHEMBL469118,O=P(O)(O)c1ccccc1OCCOc1ccccc1P(=O)(O)O,100000.0,CHEMBL5619,PIM1 kinase,inactive,100000.0,4.0,374.222,0.7503999999999995,4.0,4.0
CHEMBL466002,O=S(=O)(O)c1ccccc1Nc1ccnc(Nc2ccccc2S(=O)(=O)O)n1,100000.0,CHEMBL5619,PIM1 kinase,inactive,100000.0,4.0,422.44400000000013,2.4572000000000003,4.0,8.0
CHEMBL511372,Cc1cc(C(=O)O)c(CSCc2cc(C(=O)O)c(C)o2)o1,100000.0,CHEMBL5619,PIM1 kinase,inactive,100000.0,4.0,310.32700000000006,3.3192400000000015,2.0,5.0
CHEMBL466003,O=C(O)CCC1(CCC(=O)O)CCCCC1=O,100000.0,CHEMBL5619,PIM1 kinase,inactive,100000.0,4.0,242.27099999999996,1.8455000000000001,2.0,3.0
CHEMBL461634,COc1cc(-c2nn[nH]n2)ccc1OCC(=O)O,100000.0,CHEMBL5619,PIM1 kinase,inactive,100000.0,4.0,250.214,0.3386999999999998,2.0,6.0
CHEMBL508178,O=S(=O)(c1cc(S(=O)(=O)N2CCOCC2)c2n[n+]3c4cc(S(=O)(=O)N5CCOCC5)cc(S(=O)(=O)N5CCOCC5)c4[n-]n3c2c1)N1CCOCC1,100000.0,CHEMBL5619,PIM1 kinase,inactive,100000.0,4.0,804.9079999999996,-2.73299999999999,0.0,14.0
CHEMBL461635,CCOC(=O)c1cnc(SC(C)C(=O)O)nc1N,100000.0,CHEMBL5619,PIM1 kinase,inactive,100000.0,4.0,271.298,0.8007,2.0,7.0
CHEMBL461839,CCS(=O)(=O)N1CCN(S(=O)(=O)c2ccc(C(=O)O)cc2)CC1,100000.0,CHEMBL5619,PIM1 kinase,inactive,100000.0,4.0,362.42900000000014,0.04080000000000106,1.0,5.0
CHEMBL512048,Cc1nc(NC(=O)c2ccco2)sc1C(=O)O,100000.0,CHEMBL5619,PIM1 kinase,inactive,100000.0,4.0,252.25099999999998,1.99502,2.0,5.0
CHEMBL511180,CN(c1ccc(C(=O)O)cc1)S(=O)(=O)c1cccs1,100000.0,CHEMBL5619,PIM1 kinase,inactive,100000.0,4.0,297.35699999999997,2.2714000000000008,1.0,4.0
CHEMBL460572,O=C(CCc1nc(-c2ccc(Cl)cc2)no1)Nc1nnn[nH]1,100000.0,CHEMBL5619,PIM1 kinase,inactive,100000.0,4.0,319.71200000000005,1.4743999999999993,2.0,7.0
CHEMBL459300,O=C(CN1C(=O)c2ccccc2S1(=O)=O)Nc1ccc(Cl)c(C(=O)O)c1,100000.0,CHEMBL5619,PIM1 kinase,inactive,100000.0,4.0,394.7920000000001,1.8214000000000004,2.0,5.0
CHEMBL448408,CCNC(=O)c1cc(S(=O)(=O)NCc2ccc(C(=O)O)cc2)c(C)s1,100000.0,CHEMBL5619,PIM1 kinase,inactive,100000.0,4.0,382.4630000000001,1.98292,3.0,5.0
CHEMBL459301,CCNC(=O)c1cc(S(=O)(=O)NCCC(=O)O)c(C)s1,100000.0,CHEMBL5619,PIM1 kinase,inactive,100000.0,4.0,320.392,0.55922,3.0,5.0
CHEMBL502103,CS(=O)(=O)Nc1nc(CC(=O)O)cs1,100000.0,CHEMBL5619,PIM1 kinase,inactive,100000.0,4.0,236.274,0.14169999999999966,2.0,5.0
CHEMBL459302,O=C(O)c1cccc(NS(=O)(=O)c2cccc3nsnc23)c1,100000.0,CHEMBL5619,PIM1 kinase,inactive,100000.0,4.0,335.366,2.1902999999999997,2.0,6.0
CHEMBL462051,COc1ccc(NS(=O)(=O)c2ccc(NC(=O)c3ccccc3C(=O)O)cc2)nn1,100000.0,CHEMBL5619,PIM1 kinase,inactive,100000.0,4.0,428.4260000000001,2.2364999999999995,3.0,7.0
CHEMBL466004,COc1ccc(/C=C/C(=O)O)cc1S(=O)(=O)NCc1cccnc1,100000.0,CHEMBL5619,PIM1 kinase,inactive,100000.0,4.0,348.38000000000005,1.6664999999999999,2.0,5.0
CHEMBL447958,O=C(O)CCCNc1n[nH]c(=O)[nH]c1=O,100000.0,CHEMBL5619,PIM1 kinase,inactive,100000.0,4.0,214.181,-1.2650999999999997,4.0,5.0
