molecule_chembl_id,canonical_smiles,standard_value,target_name,target_chembl_id,bioactivity_class,standard_value_norm,pIC50,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL3972742,C[C@H]1CN(c2ccncc2Nc2ncc3ccc(-c4c(F)cccc4F)nn23)CCN1,65.9,PAK4,CHEMBL4523,active,65.9,7.18111458540599,421.4550000000001,3.611200000000002,2,7
CHEMBL3912242,CN[C@H]1CCCN(c2ccncc2Nc2ncc3ccc(-c4c(F)cccc4F)nn23)C1,31.0,PAK4,CHEMBL4523,active,31.0,7.508638306165727,435.4820000000002,4.001300000000002,2,7
CHEMBL3942186,C[C@@H]1C[C@H](N)CN(c2ccncc2Nc2ncc3ccc(-c4c(F)cccc4F)nn23)C1,0.3,PAK4,CHEMBL4523,active,0.3,9.522878745280336,435.4820000000002,3.986600000000002,2,7
CHEMBL3897323,C[C@H]1C[C@H](N)CN(c2ccncc2Nc2ncc3ccc(-c4c(F)cccc4F)nn23)C1,1.4,PAK4,CHEMBL4523,active,1.4,8.853871964321762,435.4820000000002,3.986600000000002,2,7
CHEMBL4109688,C[C@@H]1C[C@H](N)CN(c2ccncc2Nc2ncc3ccc(-c4nccs4)nn23)C1,0.4,PAK4,CHEMBL4523,active,0.4,9.397940008672036,406.5190000000002,3.164900000000001,2,9
CHEMBL4109355,C[C@@H]1C[C@H](N)CN(c2ccncc2Nc2ncc3ccc(-c4ccccn4)nn23)C1,1.3,PAK4,CHEMBL4523,active,1.3,8.886056647693163,400.4900000000002,3.1034000000000015,2,8
CHEMBL3937423,N[C@H]1CCCN(c2ccncc2Nc2ncc3ccc(-c4ccccn4)nn23)C1,6.4,PAK4,CHEMBL4523,active,6.4,8.193820026016112,386.46300000000014,2.857400000000001,2,8
CHEMBL3913540,C[C@@H]1C[C@H](N)CN(c2ccncc2Nc2ncc3ccc(-c4ncccc4F)nn23)C1,0.4,PAK4,CHEMBL4523,active,0.4,9.397940008672036,418.4800000000002,3.2425000000000015,2,8
CHEMBL3942827,C[C@H]1CN(c2ccncc2Nc2ncc3ccc(-c4ncccc4F)nn23)C[C@@H](N)[C@@H]1O,1.3,PAK4,CHEMBL4523,active,1.3,8.886056647693163,434.4790000000001,2.2133,3,9
CHEMBL3914834,N[C@H]1CCCN(c2ccncc2Nc2nnc3ccc(-c4c(F)cccc4F)nn23)C1,35.4,PAK4,CHEMBL4523,active,35.4,7.450996737974212,422.44300000000015,3.135600000000001,2,8
CHEMBL3969621,N[C@H]1CCCN(c2ccncc2Nc2nnc3ccccn23)C1,73.7,PAK4,CHEMBL4523,active,73.7,7.132532512140949,309.37700000000007,1.7953999999999997,2,7
CHEMBL3911258,N[C@@H]1CCCN(c2ccncc2Nc2ncc3ccc(-c4c(F)cccc4F)nn23)C1,35.2,PAK4,CHEMBL4523,active,35.2,7.453457336521869,421.45500000000015,3.7406000000000015,2,7
CHEMBL4110951,C[C@@H]1C[C@H](N)CN(c2ccncc2Nc2ncc3ccc(-c4cc(C(=O)NC5CC5)ccc4F)nn23)C1,0.1,PAK4,CHEMBL4523,active,0.1,10.0,500.58200000000033,3.739700000000002,3,8
CHEMBL3921064,N[C@H]1CCCN(c2ccccc2Nc2ncc3ccc(-c4c(F)cccc4F)nn23)C1,6.5,PAK4,CHEMBL4523,active,6.5,8.187086643357144,420.46700000000016,4.345600000000003,2,6
CHEMBL3918076,N[C@H]1CCCN(c2ccncc2Nc2ncc3ccc(-c4cc(C(=O)NC5CC5)ccc4F)nn23)C1,0.5,PAK4,CHEMBL4523,active,0.5,9.30102999566398,486.5550000000003,3.4937000000000014,3,8
CHEMBL3965074,C[C@H]1[C@@H](N)CCCN1c1ccncc1Nc1ncc2ccc(-c3ncccc3F)nn12,30.9,PAK4,CHEMBL4523,active,30.9,7.510041520575165,418.4800000000002,3.3850000000000016,2,8
CHEMBL4115235,C[C@@H]1[C@@H](N)CCCN1c1ccncc1Nc1ncc2ccc(-c3ncccc3F)nn12,1.8,PAK4,CHEMBL4523,active,1.8,8.744727494896694,418.4800000000002,3.3850000000000016,2,8
CHEMBL3963604,COC(C)CN(C)c1ccncc1Nc1ncc2ccc(-c3c(F)cccc3F)nn12,1000.0,PAK4,CHEMBL4523,active,1000.0,6.0,424.45500000000015,4.284200000000003,1,7
CHEMBL3920733,N[C@H]1CCCN(c2ccncc2Nc2ncc3ccc(-c4ncccc4Cl)nn23)C1,2.6,PAK4,CHEMBL4523,active,2.6,8.585026652029182,420.90800000000013,3.5108000000000015,2,8
CHEMBL4115280,C[C@@H]1C[C@H](N)CN(c2ccncc2Nc2ncc3ccc(-c4ncccc4Cl)nn23)C1,0.5,PAK4,CHEMBL4523,active,0.5,9.30102999566398,434.9350000000002,3.756800000000002,2,8
CHEMBL3904472,N[C@H]1CCCN(c2cnccc2Nc2ncc3ccc(-c4c(F)cccc4F)nn23)C1,1000.0,PAK4,CHEMBL4523,active,1000.0,6.0,421.45500000000015,3.7406000000000015,2,7
CHEMBL3940201,N[C@@H]1C=C(c2ccncc2Nc2ncc3ccc(-c4c(F)cccc4F)nn23)CCC1,9.4,PAK4,CHEMBL4523,active,9.4,8.0268721464003,418.4510000000002,4.707700000000003,2,6
CHEMBL4115439,N[C@H]1C=C(c2ccncc2Nc2ncc3ccc(-c4c(F)cccc4F)nn23)CCC1,6.3,PAK4,CHEMBL4523,active,6.3,8.200659450546418,418.4510000000002,4.707700000000003,2,6
CHEMBL3946175,NC1C=C(c2ccncc2Nc2ncc3ccc(-c4c(F)cccc4F)nn23)CCC1,189.0,PAK4,CHEMBL4523,active,189.0,6.723538195826756,418.4510000000002,4.707700000000003,2,6
CHEMBL3900646,C[C@H]1CC[C@H](N)CN1c1ccncc1Nc1ncc2ccc(-c3c(F)cccc3F)nn12,38.7,PAK4,CHEMBL4523,active,38.7,7.412289034981089,435.4820000000002,4.129100000000002,2,7
CHEMBL4112982,C[C@@H]1CC[C@@H](N)CN1c1ccncc1Nc1ncc2ccc(-c3c(F)cccc3F)nn12,1.0,PAK4,CHEMBL4523,active,1.0,9.0,435.4820000000002,4.129100000000002,2,7
CHEMBL3965757,C[C@@H]1CC[C@H](N)CN1c1ccncc1Nc1ncc2ccc(-c3c(F)cccc3F)nn12,0.3,PAK4,CHEMBL4523,active,0.3,9.522878745280336,435.4820000000002,4.129100000000002,2,7
CHEMBL3925861,C[C@H]1CC[C@@H](N)CN1c1ccncc1Nc1ncc2ccc(-c3c(F)cccc3F)nn12,29.0,PAK4,CHEMBL4523,active,29.0,7.5376020021010435,435.4820000000002,4.129100000000002,2,7
CHEMBL3916248,CN(C)C(=O)c1ccc(F)c(-c2ccc3cnc(Nc4cnccc4N4CCC[C@H](N)C4)n3n2)c1,5.3,PAK4,CHEMBL4523,active,5.3,8.275724130399212,474.5440000000002,3.303300000000001,2,8
CHEMBL4108287,C[C@@H]1C[C@H](N)CN(c2ccncc2Nc2nnc3ccc(-c4c(F)cccc4F)nn23)C1,3.9,PAK4,CHEMBL4523,active,3.9,8.4089353929735,436.4700000000002,3.3816000000000015,2,8
CHEMBL3919837,N[C@H]1CCCN(c2ccncc2Nc2nnc3ccc(-c4ncccc4F)nn23)C1,30.5,PAK4,CHEMBL4523,active,30.5,7.515700160653214,405.44100000000014,2.3914999999999997,2,9
CHEMBL4113226,C[C@@H]1C[C@H](N)CN(c2ccncc2Nc2nnc3ccc(-c4ncccc4F)nn23)C1,10.6,PAK4,CHEMBL4523,active,10.6,7.97469413473523,419.4680000000002,2.6375,2,9
CHEMBL4109687,N[C@@H]1C=C(c2ccncc2Nc2ncc3ccc(-c4c(F)cccc4F)nn23)CC[C@H]1F,15.5,PAK4,CHEMBL4523,active,15.5,7.809668301829708,436.44100000000014,4.655700000000002,2,6
CHEMBL3923683,C[C@H]1CC[C@H](N)CN1c1ccncc1Nc1ncc2ccc(-c3ncccc3F)nn12,102.0,PAK4,CHEMBL4523,active,102.0,6.991399828238082,418.4800000000002,3.3850000000000016,2,8
CHEMBL4107310,C[C@@H]1CC[C@@H](N)CN1c1ccncc1Nc1ncc2ccc(-c3ncccc3F)nn12,1.3,PAK4,CHEMBL4523,active,1.3,8.886056647693163,418.4800000000002,3.3850000000000016,2,8
