molecule_chembl_id,canonical_smiles,standard_value,target_name,target_chembl_id,bioactivity_class,standard_value_norm,pIC50
CHEMBL2017348,Fc1ccc(Nc2nc3c(-c4nnc[nH]4)cccc3c3sccc23)c(F)c1,2.0,PAK4,CHEMBL4523,active,2.0,8.698970004336019
CHEMBL2017349,Fc1ccc(Nc2nc3c(-c4nnc[nH]4)cccc3c3sccc23)cc1F,15.0,PAK4,CHEMBL4523,active,15.0,7.823908740944319
CHEMBL2017344,Fc1cc(F)cc(Nc2nc3c(-c4nnc[nH]4)cccc3c3sccc23)c1,24.0,PAK4,CHEMBL4523,active,24.0,7.619788758288394
CHEMBL2017350,COc1ccccc1Nc1nc2c(-c3nnc[nH]3)cccc2c2sccc12,49.0,PAK4,CHEMBL4523,active,49.0,7.309803919971486
CHEMBL2017351,COc1cccc(Nc2nc3c(-c4nnc[nH]4)cccc3c3sccc23)c1,28.0,PAK4,CHEMBL4523,active,28.0,7.552841968657781
CHEMBL2017352,COc1ccc(Nc2nc3c(-c4nnc[nH]4)cccc3c3sccc23)cc1,6.0,PAK4,CHEMBL4523,active,6.0,8.221848749616356
CHEMBL2017353,CN(C)CCOc1ccc(Nc2nc3c(-c4nnc[nH]4)cccc3c3sccc23)cc1,34.0,PAK4,CHEMBL4523,active,34.0,7.468521082957745
CHEMBL2017354,FC(F)(F)c1cccc(Nc2nc3c(-c4nnc[nH]4)cccc3c3sccc23)c1,52.0,PAK4,CHEMBL4523,active,52.0,7.2839966563652006
CHEMBL2017355,N#Cc1cccc(Nc2nc3c(-c4nnc[nH]4)cccc3c3sccc23)c1,12.0,PAK4,CHEMBL4523,active,12.0,7.920818753952375
CHEMBL2017356,C#Cc1cccc(Nc2nc3c(-c4nnc[nH]4)cccc3c3sccc23)c1,5.0,PAK4,CHEMBL4523,active,5.0,8.301029995663981
CHEMBL2017357,NC(=O)c1ccc(Nc2nc3c(-c4nnc[nH]4)cccc3c3sccc23)cc1,17.0,PAK4,CHEMBL4523,inactive,17.0,7.769551078621726
CHEMBL2017358,O=C(O)c1cccc2c1nc(Nc1ccccc1Cl)c1ccsc12,121.0,PAK4,CHEMBL4523,inactive,121.0,6.91721462968355
CHEMBL2017359,NC(=O)c1cccc2c1nc(Nc1ccccc1Cl)c1ccsc12,12.0,PAK4,CHEMBL4523,active,12.0,7.920818753952375
CHEMBL2017360,CNC(=O)c1cccc2c1nc(Nc1ccccc1Cl)c1ccsc12,28.0,PAK4,CHEMBL4523,intermediate,28.0,7.552841968657781
CHEMBL2017361,Cc1cc2c(Nc3ccccc3F)nc3c(-c4nnc[nH]4)cccc3c2s1,6.0,PAK4,CHEMBL4523,active,6.0,8.221848749616356
